Year,Value
1989,11.6125
1990,11.6125
1991,12.2
1992,11.04583333
1993,10.0625
1994,10.23333333
1995,12.58333333
1996,13.21666667
1997,11.49583333
1998,10.54583333
1999,9.479166667
2000,15.60416667
2001,14.28333333
2002,15.175
2003,15.89583333
2004,17.11666667
2005,18.84583333
2006,19.81666667
2007,33.11666667
2008,21.37083333
2009,21.7125
2010,29.39583333
2011,29.38333333
2012,27.12916667
2013,27.74166667
2014,27.85416667
2015,21.49583333
2016,21.37083333
2017,22.90416667
2018,24.16666667
2019,20.49166667
2020,35.70833333
2021,76.61666667
2022,38.13333333
2023,31.85833333
2024,37.85
